예보시간,지역,분야,영향도
2019-06-03,대구광역시_대구,보건(일반인),주의
2019-06-03,경상북도_구미,보건(일반인),주의
2019-06-03,경상북도_영천,보건(일반인),주의
2019-06-03,경상북도_경산,보건(일반인),주의
2019-06-03,경상북도_군위,보건(일반인),주의
2019-06-03,경상북도_청도,보건(일반인),주의
2019-06-03,경상북도_고령,보건(일반인),주의
2019-06-03,경상북도_성주,보건(일반인),주의
2019-06-03,경상북도_칠곡,보건(일반인),주의
2019-06-03,경상북도_김천,보건(일반인),주의
2019-06-03,경상북도_상주,보건(일반인),주의
2019-06-03,경상북도_의성,보건(일반인),주의
2019-06-03,경상북도_경주,보건(일반인),주의
2019-06-03,경상남도_밀양,보건(일반인),주의
2019-06-03,경상남도_창녕,보건(일반인),주의
2019-06-03,경상남도_합천,보건(일반인),주의
2019-06-04,대구광역시_대구,보건(일반인),주의
2019-06-04,경상북도_구미,보건(일반인),주의
2019-06-04,경상북도_영천,보건(일반인),주의
2019-06-04,경상북도_경산,보건(일반인),주의
2019-06-04,경상북도_군위,보건(일반인),주의
2019-06-04,경상북도_청도,보건(일반인),주의
2019-06-04,경상북도_고령,보건(일반인),주의
2019-06-04,경상북도_성주,보건(일반인),주의
2019-06-04,경상북도_칠곡,보건(일반인),주의
2019-06-04,경상북도_김천,보건(일반인),주의
2019-06-04,경상북도_상주,보건(일반인),주의
2019-06-04,경상북도_예천,보건(일반인),주의
2019-06-04,경상북도_의성,보건(일반인),주의
2019-06-04,경상북도_청송,보건(일반인),주의
2019-06-04,경상북도_영덕,보건(일반인),주의
2019-06-04,경상북도_포항,보건(일반인),주의
2019-06-04,경상북도_경주,보건(일반인),주의
2019-06-04,경상남도_밀양,보건(일반인),주의
2019-06-04,경상남도_창녕,보건(일반인),주의
2019-06-04,경상남도_합천,보건(일반인),주의
2019-06-05,광주광역시_광주,보건(일반인),주의
2019-06-05,전라남도_나주,보건(일반인),주의
2019-06-05,전라남도_곡성,보건(일반인),주의
2019-06-05,전라남도_구례,보건(일반인),주의
2019-06-05,전라남도_광양,보건(일반인),주의
2019-06-05,전라남도_순천,보건(일반인),주의
2019-06-05,대구광역시_대구,보건(일반인),주의
2019-06-05,경상북도_구미,보건(일반인),주의
2019-06-05,경상북도_영천,보건(일반인),주의
2019-06-05,경상북도_경산,보건(일반인),주의
2019-06-05,경상북도_군위,보건(일반인),주의
2019-06-05,경상북도_청도,보건(일반인),주의
2019-06-05,경상북도_고령,보건(일반인),주의
2019-06-05,경상북도_성주,보건(일반인),주의
2019-06-05,경상북도_칠곡,보건(일반인),주의
2019-06-05,경상북도_김천,보건(일반인),주의
2019-06-05,경상북도_상주,보건(일반인),주의
2019-06-05,경상북도_문경,보건(일반인),주의
2019-06-05,경상북도_예천,보건(일반인),주의
2019-06-05,경상북도_안동,보건(일반인),주의
2019-06-05,경상북도_영주,보건(일반인),주의
2019-06-05,경상북도_의성,보건(일반인),주의
2019-06-05,경상북도_청송,보건(일반인),주의
2019-06-05,경상북도_영양평지,보건(일반인),주의
2019-06-05,경상북도_영덕,보건(일반인),주의
2019-06-05,경상북도_포항,보건(일반인),주의
2019-06-05,경상북도_경주,보건(일반인),주의
2019-06-05,경상남도_김해,보건(일반인),주의
2019-06-05,경상남도_밀양,보건(일반인),주의
2019-06-05,경상남도_함안,보건(일반인),주의
