일시,평균기온,최고기온 평균,최저기온 평균,강수량,지역
 2010-01,-4.5,-0.7,-8.1,29.3,서울특별시
 2010-02,1.4,4.9,-1.7,55.3,서울특별시
 2010-03,4.3,8.1,0.5,82.5,서울특별시
 2010-04,9.5,14,5.6,62.8,서울특별시
 2010-05,17.2,22,13,124,서울특별시
 2010-06,23.4,28.2,19.3,127.6,서울특별시
 2010-07,25.8,29.3,23.1,239.2,서울특별시
 2010-08,26.5,30,23.8,598.7,서울특별시
 2010-09,21.8,26,18.5,671.5,서울특별시
 2010-10,14.5,19.3,10.4,25.6,서울특별시
 2010-11,6.5,11.3,2.5,10.9,서울특별시
 2010-12,-1.3,3.1,-5.1,16.1,서울특별시
 2011-01,-7.2,-3.4,-10.5,8.9,서울특별시
 2011-02,1.2,5.9,-2.5,29.1,서울특별시
 2011-03,3.6,8.3,-0.1,14.6,서울특별시
 2011-04,10.7,15.6,6.8,110.1,서울특별시
 2011-05,17.9,23,13.6,53.4,서울특별시
 2011-06,22,26.6,18.4,404.5,서울특별시
 2011-07,24.6,28,22,1131,서울특별시
 2011-08,25.8,29.5,23,166.8,서울특별시
 2011-09,21.8,26.6,17.7,25.6,서울특별시
 2011-10,14.2,19.3,9.7,32,서울특별시
 2011-11,10.7,14.7,7.2,56.2,서울특별시
 2011-12,-0.9,2.9,-4.1,7.1,서울특별시
 2012-01,-2.8,1.3,-6.3,6.7,서울특별시
 2012-02,-2,3,-6,0.8,서울특별시
 2012-03,5.1,9.5,1.5,47.4,서울특별시
 2012-04,12.3,17.9,7.8,157,서울특별시
 2012-05,19.7,25.1,15.4,8.2,서울특별시
 2012-06,24.1,29.7,20,91.9,서울특별시
 2012-07,25.4,29,22.4,448.9,서울특별시
 2012-08,27.1,30.9,23.9,464.9,서울특별시
 2012-09,21,25,17.4,212,서울특별시
 2012-10,15.3,20.5,11,99.3,서울특별시
 2012-11,5.5,9.5,1.8,67.8,서울특별시
 2012-12,-4.1,-0.5,-7.4,41.4,서울특별시
 2013-01,-3.4,0.3,-6.6,22.1,서울특별시
 2013-02,-1.2,2.8,-4.9,74.1,서울특별시
 2013-03,5.1,10.8,0.7,27.3,서울특별시
 2013-04,10,15,5.7,71.7,서울특별시
 2013-05,18.2,23.6,13.7,132,서울특별시
 2013-06,24.4,29.2,20.5,28.3,서울특별시
 2013-07,25.5,28.3,23.4,676.2,서울특별시
 2013-08,27.7,31.1,24.8,148.6,서울특별시
 2013-09,21.8,25.9,18,138.5,서울특별시
 2013-10,15.8,21.2,10.9,13.5,서울특별시
 2013-11,6.2,10.7,2.1,46.8,서울특별시
 2013-12,-0.2,3.5,-3.5,24.7,서울특별시
 2014-01,-0.7,3.5,-4.9,13,서울특별시
 2014-02,1.9,6.6,-1.8,16.2,서울특별시
 2014-03,7.9,13.1,3.5,7.2,서울특별시
 2014-04,14,19.6,9.4,31,서울특별시
 2014-05,18.9,25.3,13.8,63,서울특별시
 2014-06,23.1,27.8,19.7,98.1,서울특별시
 2014-07,26.1,30.6,22.9,207.9,서울특별시
 2014-08,25.2,29,22.1,172.8,서울특별시
 2014-09,22.1,27,18,88.1,서울특별시
 2014-10,15.6,21.4,10.7,52.2,서울특별시
 2014-11,9,13.8,4.9,41.5,서울특별시
 2014-12,-2.9,1.5,-6.7,17.9,서울특별시
 2015-01,-0.9,3.6,-4.8,11.3,서울특별시
 2015-02,1,6,-2.9,22.7,서울특별시
 2015-03,6.3,12.4,1,9.6,서울특별시
 2015-04,13.3,18.8,8.4,80.5,서울특별시
 2015-05,18.9,24.9,13.6,28.9,서울특별시
 2015-06,23.6,29.5,18.9,99,서울특별시
 2015-07,25.8,30,22.6,226,서울특별시
 2015-08,26.3,30.8,22.8,72.9,서울특별시
 2015-09,22.4,28.1,17.5,26,서울특별시
 2015-10,15.5,21.2,10.8,81.5,서울특별시
 2015-11,8.9,12.7,5.9,104.6,서울특별시
 2015-12,1.6,6,-2.1,29.1,서울특별시
 2016-01,-3.2,1.1,-6.8,1,서울특별시
 2016-02,0.2,5.1,-4.1,47.6,서울특별시
 2016-03,7,12.6,2.4,40.5,서울특별시
 2016-04,14.1,20.3,9.1,76.8,서울특별시
 2016-05,19.6,25.7,14.1,160.5,서울특별시
 2016-06,23.6,28.7,19.5,54.4,서울특별시
 2016-07,26.2,29.8,23.3,358.2,서울특별시
 2016-08,28,32.6,24.5,67.1,서울특별시
 2016-09,23.1,27.9,19.3,33,서울특별시
 2016-10,16.1,21.3,11.6,74.8,서울특별시
 2016-11,6.8,11.6,2.8,16.7,서울특별시
 2016-12,1.2,5.8,-2.7,61.1,서울특별시
 2017-01,-1.8,2.9,-5.8,14.9,서울특별시
 2017-02,-0.2,4.8,-4.7,11.1,서울특별시
 2017-03,6.3,12.3,1.7,7.9,서울특별시
 2017-04,13.9,20,9.1,61.6,서울특별시
 2017-05,19.5,25.4,14.4,16.1,서울특별시
 2017-06,23.3,28.8,18.7,66.6,서울특별시
 2017-07,26.9,30.4,24.3,621,서울특별시
 2017-08,25.9,29.7,22.9,297,서울특별시
 2017-09,22.1,27.4,17.5,35,서울특별시
 2017-10,16.4,22.5,11.6,26.5,서울특별시
 2017-11,5.6,10.5,1.3,40.7,서울특별시
 2017-12,-1.9,2.2,-5.7,34.8,서울특별시
 2018-01,-4,0.1,-7.3,8.5,서울특별시
 2018-02,-1.6,3.3,-5.9,29.6,서울특별시
 2018-03,8.1,13.6,3.8,49.5,서울특별시
 2018-04,13,18.5,8.1,130.3,서울특별시
 2018-05,18.2,23.3,13.4,222,서울특별시
 2018-06,23.1,28.4,18.9,171.5,서울특별시
 2018-07,27.8,32.1,24.2,185.6,서울특별시
 2018-08,28.8,33.3,25.2,202.6,서울특별시
 2018-09,21.5,26,17.6,68.5,서울특별시
 2018-10,13.1,18.6,8.5,120.5,서울특별시
 2018-11,7.8,13.2,3.6,79.1,서울특별시
